Dataset,Query,Milliseconds,Average,"Confidence Interval (Min, Max)"
25%,Query 1,15.49,15.491294860839844,"(15.11, 15.88)"
25%,Query 2,15.42,15.416685740152994,"(15.0, 15.83)"
25%,Query 3,15.46,15.461897850036621,"(15.12, 15.8)"
25%,Query 4,16.59,16.58639113108317,"(14.19, 18.98)"
50%,Query 1,15.56,15.557098388671875,"(14.6, 16.52)"
50%,Query 2,15.59,15.5898650487264,"(15.2, 15.98)"
50%,Query 3,15.54,15.540901819864908,"(14.47, 16.61)"
50%,Query 4,15.44,15.443595250447592,"(15.05, 15.84)"
75%,Query 1,16.12,16.115355491638184,"(15.08, 17.15)"
75%,Query 2,15.29,15.289545059204102,"(14.43, 16.14)"
75%,Query 3,15.37,15.368819236755371,"(14.91, 15.82)"
75%,Query 4,15.51,15.505639712015787,"(14.25, 16.77)"
100%,Query 1,17.79,17.788974444071453,"(15.14, 20.44)"
100%,Query 2,16.42,16.416319211324055,"(14.22, 18.61)"
100%,Query 3,15.59,15.594657262166342,"(15.2, 15.99)"
100%,Query 4,15.4,15.396293004353842,"(14.95, 15.85)"
