Dataset,Query,Average of 30 Executions (ms),Average Time (ms),"Confidence Interval (Min, Max)"
25%,Query 1,14.23,14.226640,"(13.81, 14.64)"
25%,Query 2,14.04,14.042310,"(13.48, 14.60)"
25%,Query 3,14.30,14.299710,"(13.62, 14.98)"
25%,Query 4,13.94,13.940567,"(13.45, 14.44)"
50%,Query 1,14.15,14.151643,"(13.77, 14.54)"
50%,Query 2,14.25,14.251757,"(13.88, 14.62)"
50%,Query 3,14.14,14.138457,"(13.73, 14.55)"
50%,Query 4,14.29,14.288220,"(13.86, 14.72)"
75%,Query 1,14.13,14.127180,"(13.56, 14.70)"
75%,Query 2,14.10,14.100933,"(13.69, 14.51)"
75%,Query 3,14.08,14.081750,"(13.73, 14.44)"
75%,Query 4,14.02,14.016420,"(13.69, 14.35)"
100%,Query 1,14.04,14.041453,"(13.66, 14.42)"
100%,Query 2,14.06,14.063420,"(13.70, 14.43)"
100%,Query 3,14.04,14.036607,"(13.68, 14.40)"
100%,Query 4,14.59,14.587623,"(13.37, 15.81)"
