Dataset,Query,Average of 30 Executions (ms),Average Time (ms),"Confidence Interval (Min, Max)"
25%,Query 1,14.17,14.169993,"(13.81, 14.53)"
25%,Query 2,14.24,14.239830,"(13.94, 14.54)"
25%,Query 3,14.33,14.334953,"(13.98, 14.69)"
25%,Query 4,14.34,14.342420,"(14.05, 14.64)"
50%,Query 1,14.09,14.088280,"(13.71, 14.47)"
50%,Query 2,14.57,14.567180,"(13.81, 15.32)"
50%,Query 3,14.20,14.203743,"(13.70, 14.71)"
50%,Query 4,14.13,14.131343,"(13.66, 14.61)"
75%,Query 1,15.07,15.074040,"(13.66, 16.49)"
75%,Query 2,15.17,15.166130,"(13.36, 16.97)"
75%,Query 3,14.06,14.058000,"(13.68, 14.44)"
75%,Query 4,14.14,14.136307,"(13.86, 14.41)"
100%,Query 1,31.67,31.666610,"(28.22, 35.11)"
100%,Query 2,16.18,16.184077,"(12.08, 20.28)"
100%,Query 3,14.69,14.688793,"(13.54, 15.84)"
100%,Query 4,14.31,14.311297,"(13.76, 14.87)"
