id,description,code
98,Chest X-Ray,PR0098
1396,Thyroid Function Test,PR1396
392,Electrocardiogram (ECG),PR0392
1821,Liver Function Test,PR1821
685,Thyroid Function Test,PR0685
1255,Stress Test,PR1255
1171,CT Scan of the Abdomen,PR1171
294,Kidney Function Test,PR0294
266,Thyroid Function Test,PR0266
1968,Electrocardiogram (ECG),PR1968
202,Electrocardiogram (ECG),PR0202
857,Basic Metabolic Panel,PR0857
1228,Abdominal Ultrasound,PR1228
409,Abdominal Ultrasound,PR0409
1683,Abdominal Ultrasound,PR1683
1540,Thyroid Function Test,PR1540
1521,Lipid Panel,PR1521
1040,Stress Test,PR1040
1315,Lipid Panel,PR1315
1941,MRI of the Brain,PR1941
624,Basic Metabolic Panel,PR0624
307,CT Scan of the Abdomen,PR0307
302,Basic Metabolic Panel,PR0302
367,Liver Function Test,PR0367
948,Abdominal Ultrasound,PR0948
468,Thyroid Function Test,PR0468
226,Thyroid Function Test,PR0226
1719,Chest X-Ray,PR1719
607,Thyroid Function Test,PR0607
736,Abdominal Ultrasound,PR0736
1778,MRI of the Brain,PR1778
1311,MRI of the Brain,PR1311
728,Thyroid Function Test,PR0728
719,Kidney Function Test,PR0719
661,Thyroid Function Test,PR0661
1046,MRI of the Brain,PR1046
1670,Kidney Function Test,PR1670
489,Thyroid Function Test,PR0489
444,Chest X-Ray,PR0444
1259,Basic Metabolic Panel,PR1259
1840,Electrocardiogram (ECG),PR1840
1886,Thyroid Function Test,PR1886
143,Chest X-Ray,PR0143
666,MRI of the Brain,PR0666
829,Basic Metabolic Panel,PR0829
610,Complete Blood Count (CBC),PR0610
155,Stress Test,PR0155
1152,Abdominal Ultrasound,PR1152
1918,Kidney Function Test,PR1918
28,CT Scan of the Abdomen,PR0028
1768,Complete Blood Count (CBC),PR1768
1725,Chest X-Ray,PR1725
347,Abdominal Ultrasound,PR0347
798,Liver Function Test,PR0798
710,Abdominal Ultrasound,PR0710
114,Stress Test,PR0114
1337,Chest X-Ray,PR1337
478,Abdominal Ultrasound,PR0478
1969,Electrocardiogram (ECG),PR1969
1022,Lipid Panel,PR1022
