Dataset,Query,Milliseconds,Average,"Confidence Interval (Min, Max)"
100%,Query 1,13.43,13.43,"(12.81, 14.06)"
100%,Query 2,10.74,10.74,"(9.95, 11.52)"
100%,Query 3,6.11,6.11,"(5.78, 6.44)"
100%,Query 4,19.86,19.86,"(18.71, 21.02)"
75%,Query 1,8.3,8.3,"(7.84, 8.75)"
75%,Query 2,8.3,8.3,"(7.88, 8.73)"
75%,Query 3,4.92,4.92,"(4.53, 5.32)"
75%,Query 4,13.69,13.69,"(13.22, 14.17)"
50%,Query 1,5.44,5.44,"(5.15, 5.73)"
50%,Query 2,5.62,5.62,"(5.3, 5.93)"
50%,Query 3,4.85,4.85,"(4.49, 5.2)"
50%,Query 4,11.28,11.28,"(10.81, 11.75)"
25%,Query 1,3.45,3.45,"(3.21, 3.7)"
25%,Query 2,4.35,4.35,"(4.01, 4.69)"
25%,Query 3,5.16,5.16,"(4.49, 5.84)"
25%,Query 4,8.05,8.05,"(7.44, 8.66)"
