Dataset,Query,Average of 100 Executions (ms),Average Time (ms),"Confidence Interval (Min, Max)"
100%,Query 1,25.25,25.254494,"(23.58, 26.93)"
100%,Query 2,10.13,10.128385,"(9.79, 10.47)"
100%,Query 3,19.12,19.116421,"(18.24, 20.00)"
100%,Query 4,165.95,165.945085,"(162.06, 169.83)"
75%,Query 1,12.65,12.649841,"(12.36, 12.94)"
75%,Query 2,5.24,5.243178,"(5.06, 5.42)"
75%,Query 3,10.85,10.850211,"(10.54, 11.16)"
75%,Query 4,161.33,161.329746,"(151.79, 170.87)"
50%,Query 1,9.49,9.486395,"(9.32, 9.65)"
50%,Query 2,3.81,3.807179,"(3.66, 3.96)"
50%,Query 3,8.24,8.236085,"(8.12, 8.36)"
50%,Query 4,102.90,102.896550,"(101.63, 104.16)"
25%,Query 1,2.52,2.515661,"(2.43, 2.60)"
25%,Query 2,2.35,2.354586,"(2.30, 2.41)"
25%,Query 3,2.34,2.343615,"(2.30, 2.39)"
25%,Query 4,14.76,14.758899,"(14.61, 14.91)"
