Dataset,Query,Average of 30 Executions (ms),Average Time (ms),"Confidence Interval (Min, Max)"
25%,Query 1,2.37,2.367857,"(1.68, 6.35)"
25%,Query 2,1.63,1.633037,"(1.33, 3.04)"
25%,Query 3,1.12,1.118287,"(0.81, 2.19)"
25%,Query 4,1.04,1.037290,"(0.81, 1.55)"
50%,Query 1,5.06,5.063013,"(4.24, 6.81)"
50%,Query 2,2.97,2.970873,"(2.34, 5.62)"
50%,Query 3,1.99,1.988217,"(1.39, 2.95)"
50%,Query 4,3.01,3.014790,"(2.13, 4.30)"
75%,Query 1,8.99,8.989253,"(7.60, 13.07)"
75%,Query 2,7.08,7.082477,"(3.53, 13.83)"
75%,Query 3,3.16,3.163957,"(1.82, 6.63)"
75%,Query 4,6.70,6.701613,"(3.30, 14.17)"
100%,Query 1,22.34,22.337247,"(11.41, 34.25)"
100%,Query 2,10.68,10.682920,"(5.57, 15.07)"
100%,Query 3,7.80,7.795407,"(2.26, 42.19)"
100%,Query 4,11.37,11.367437,"(8.83, 19.84)"
