Dataset,Query,Average of 100 Executions (ms),Average Time (ms),"Confidence Interval (Min, Max)"
100%,Query 1,18.14,18.142993,"(17.89, 18.40)"
100%,Query 2,8.51,8.514284,"(8.37, 8.66)"
100%,Query 3,14.67,14.671988,"(14.41, 14.94)"
100%,Query 4,154.03,154.030111,"(150.98, 157.08)"
75%,Query 1,11.53,11.531590,"(11.38, 11.69)"
75%,Query 2,5.06,5.064263,"(4.97, 5.16)"
75%,Query 3,11.00,10.996986,"(10.69, 11.31)"
75%,Query 4,108.11,108.111202,"(107.00, 109.22)"
50%,Query 1,5.64,5.644943,"(5.50, 5.79)"
50%,Query 2,2.74,2.741676,"(2.57, 2.91)"
50%,Query 3,4.98,4.978375,"(4.79, 5.16)"
50%,Query 4,56.35,56.353692,"(55.51, 57.19)"
25%,Query 1,2.04,2.039912,"(1.96, 2.12)"
25%,Query 2,1.84,1.840584,"(1.76, 1.92)"
25%,Query 3,1.83,1.833011,"(1.77, 1.90)"
25%,Query 4,14.75,14.745605,"(14.59, 14.90)"
